evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,0,P[  -1/   0/ 139/  -1],             
2,D,1,                      ,D[FL/147/232/334]
3,P,0,P[ -10/  12/ 266/  10],             
4,D,0,                      ,D[FL/ 12/230/334]
5,P,0,P[  -2/  27/ 258/  26],             
6,D,0,                      ,D[IM/288/230/334]
7,D,0,                      ,D[AR/ 95/230/334]
8,D,1,                      ,D[AR/135/230/334]
9,D,0,                      ,D[FL/122/230/334]
10,D,0,                      ,D[FL/ 67/230/334]
11,P,1,P[  -1/  35/ 252/  34],             
12,D,0,                      ,D[IM/261/230/334]
13,D,0,                      ,D[AR/135/230/334]
14,P,0,P[ -14/  30/  50/  28],             
15,D,1,                      ,D[AR/ 44/230/334]
16,D,1,                      ,D[AR/130/230/334]
17,D,0,                      ,D[AR/ 12/230/334]
18,P,0,P[ -35/  36/  39/  26],             
19,P,1,P[  -2/   3/ 158/  -1],             
20,P,1,P[ -23/   4/ 268/   2],             
21,D,0,                      ,D[AR/225/229/334]
22,D,1,                      ,D[FL/259/229/334]
23,D,0,                      ,D[AR/221/229/334]
24,P,1,P[   0/   4/ 267/   1],             
25,P,1,P[  -2/   3/ 314/  -2],             
26,P,0,P[  -4/   8/ 112/  -1],             
27,P,1,P[  -2/   1/ 133/  -2],             
28,D,0,                      ,D[IM/141/228/334]
29,P,1,P[  -3/  11/ 162/  10],             
30,P,0,P[  -9/  48/ 201/  46],             
31,D,0,                      ,D[AR/ 59/228/334]
32,P,0,P[  -5/   3/ 100/   2],             
33,D,1,                      ,D[FL/136/228/334]
34,D,1,                      ,D[AR/  9/228/334]
35,P,1,P[  -6/   1/ 313/  -6],             
36,P,1,P[ -42/  61/  42/  44],             
37,P,1,P[  -2/   3/ 223/   2],             
38,P,0,P[ -19/   3/ 220/  -1],             
39,D,1,                      ,D[AR/ 33/228/334]
40,D,1,                      ,D[AR/231/228/334]
41,P,0,P[  -3/   0/ 141/  -3],             
42,P,0,P[  -5/   0/ 254/  -1],             
43,D,1,                      ,D[AR/193/228/334]
44,D,1,                      ,D[AR/  1/228/334]
45,P,0,P[ -46/   1/ 266/ -46],             
46,D,1,                      ,D[AR/199/228/334]
47,D,0,                      ,D[FL/ 23/227/334]
48,P,1,P[  -8/   3/ 231/  -7],             
49,P,1,P[  -4/   1/ 203/  -4],             
50,P,1,P[  -2/   0/ 262/  -2],             
51,D,0,                      ,D[AR/ 83/227/334]
52,D,0,                      ,D[IM/140/227/334]
53,P,1,P[  -2/  27/ 257/  25],             
54,D,1,                      ,D[IM/261/228/334]
55,P,1,P[  -8/   6/ 127/   5],             
56,P,1,P[  -7/  10/ 152/  -7],             
57,D,0,                      ,D[FL/258/226/334]
58,P,0,P[ -44/  24/  44/ -39],             
59,P,1,P[ -16/   2/ 175/ -13],             
60,D,0,                      ,D[AR/271/226/334]
61,P,0,P[  -2/   8/ 326/  -2],             
62,P,1,P[  -7/   4/ 212/  -7],             
63,D,0,                      ,D[FL/141/226/334]
64,P,0,P[  -5/  93/   5/  90],             
65,D,0,                      ,D[FL/274/226/334]
66,D,0,                      ,D[FL/187/226/334]
67,D,0,                      ,D[AR/  2/226/334]
68,P,0,P[  -2/   2/ 323/  -2],             
69,P,0,P[  -6/   6/ 299/  -6],             
70,D,0,                      ,D[FL/193/226/334]
71,P,0,P[   0/  38/   0/  31],             
72,D,0,                      ,D[FL/218/226/334]
73,D,0,                      ,D[FL/ 12/226/334]
74,D,0,                      ,D[FL/123/226/334]
75,P,0,P[  -6/   0/ 129/  -5],             
76,D,1,                      ,D[AR/273/226/334]
77,P,0,P[  -9/ 103/   9/  -8],             
78,D,0,                      ,D[FL/ 36/226/334]
79,D,1,                      ,D[AR/  4/226/334]
80,D,0,                      ,D[IM/100/226/334]
81,P,0,P[  -3/   5/ 105/   4],             
82,P,1,P[ -35/  35/  39/  32],             
83,P,0,P[ -20/   7/ 127/   6],             
84,P,1,P[  -5/   3/ 100/  -5],             
85,P,0,P[ -31/  29/  31/ -30],             
86,D,0,                      ,D[FL/ 30/226/334]
87,P,1,P[  -8/  10/ 268/  -7],             
88,D,0,                      ,D[FL/191/225/334]
89,P,1,P[  -1/   2/  89/   1],             
90,P,1,P[  -8/  37/ 116/  33],             
91,D,1,                      ,D[FL/301/228/334]
92,P,0,P[  -1/   8/ 295/  -1],             
93,D,0,                      ,D[FL/206/228/334]
94,D,0,                      ,D[AR/115/228/334]
95,P,0,P[   0/   8/  95/   7],             
96,P,0,P[  -5/  19/ 171/  -2],             
97,P,1,P[ -10/   3/ 158/   2],             
98,P,1,P[ -21/   6/ 121/   3],             
99,D,1,                      ,D[FL/263/228/334]
100,D,1,                      ,D[AR/230/228/334]
101,D,1,                      ,D[AR/107/228/334]
102,D,0,                      ,D[FL/218/228/334]
103,D,0,                      ,D[AR/ 85/228/334]
104,P,1,P[  -2/   5/ 159/  -1],             
105,D,1,                      ,D[AR/  1/228/334]
106,P,1,P[  -6/   5/ 329/  -6],             
107,P,0,P[ -20/   0/ 102/  -3],             
108,D,1,                      ,D[AR/210/228/334]
109,P,1,P[ -52/  78/  52/ -27],             
