evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -9/   3/ 330/  -9],             
2,P,1,P[  -3/   1/  64/  -3],             
3,P,0,P[  -1/   6/ 117/   5],             
4,P,0,P[  -3/   3/ 181/   2],             
5,D,0,                      ,D[IM/237/218/334]
6,D,0,                      ,D[FL/ 45/218/334]
7,D,1,                      ,D[AR/ 88/218/334]
8,P,0,P[   0/  34/ 206/  31],             
9,D,0,                      ,D[FL/ 56/218/334]
10,D,0,                      ,D[FL/159/218/334]
11,D,1,                      ,D[AR/ 85/218/334]
12,D,0,                      ,D[FL/ 77/218/334]
13,D,1,                      ,D[FL/140/218/334]
14,D,0,                      ,D[FL/297/217/334]
15,P,1,P[  -1/  15/ 264/  -1],             
16,D,0,                      ,D[FL/ 34/216/334]
17,P,1,P[  -3/  13/ 110/  -2],             
18,P,1,P[ -12/  19/ 218/  13],             
19,D,1,                      ,D[FL/190/220/334]
20,P,1,P[  -7/  14/ 235/  -5],             
21,P,1,P[ -36/  33/  36/  32],             
22,D,1,                      ,D[FL/274/220/334]
23,P,0,P[  -5/  34/ 233/  -5],             
24,P,0,P[  -5/   0/ 287/  -1],             
25,P,1,P[  -9/   8/ 113/   7],             
26,P,1,P[  -2/   2/ 332/   1],             
27,P,0,P[  -3/   4/ 159/   3],             
28,D,0,                      ,D[FL/ 93/219/334]
29,D,0,                      ,D[AR/  6/219/334]
30,P,0,P[  -5/   0/ 287/  -1],             
31,D,1,                      ,D[AR/282/219/334]
32,P,0,P[  -8/  12/ 110/  -5],             
33,P,1,P[  -1/   0/  79/  -1],             
34,D,0,                      ,D[FL/ 45/219/334]
35,D,0,                      ,D[AR/291/219/334]
36,P,0,P[  -1/   1/ 255/  -1],             
37,D,0,                      ,D[AR/ 86/219/334]
38,D,0,                      ,D[FL/ 80/219/334]
39,D,1,                      ,D[FL/ 32/219/334]
40,P,0,P[ -28/   4/  28/ -28],             
41,D,0,                      ,D[IM/ 77/218/334]
42,P,0,P[ -20/  28/ 248/  26],             
43,D,1,                      ,D[FL/ 79/218/334]
44,D,1,                      ,D[AR/ 66/217/334]
45,P,0,P[ -16/   1/ 120/ -15],             
46,P,0,P[  -4/   1/ 171/  -4],             
47,P,1,P[ -13/   0/ 253/ -13],             
48,P,1,P[ -16/  41/  79/  37],             
49,P,1,P[ -13/  29/ 119/  26],             
50,P,0,P[  -6/   0/  46/  -6],             
51,D,1,                      ,D[FL/207/218/334]
52,P,1,P[  -1/   2/ 253/   1],             
53,P,0,P[  -6/  37/   6/  -3],             
54,P,1,P[  -1/   1/  55/  -1],             
55,P,1,P[  -3/   0/ 191/  -1],             
56,P,0,P[  -3/   0/ 300/  -1],             
57,P,0,P[  -3/   3/ 189/  -2],             
58,P,1,P[  -4/   0/  77/  -3],             
59,D,1,                      ,D[FL/286/217/334]
60,D,0,                      ,D[IM/232/218/334]
61,D,1,                      ,D[AR/ 65/218/334]
62,D,1,                      ,D[AR/112/216/334]
63,P,1,P[  -4/  58/ 178/  -1],             
64,P,1,P[ -14/  77/  14/  -6],             
65,P,0,P[ -10/  30/  10/  -9],             
66,P,1,P[  -4/  12/  97/  -4],             
67,P,0,P[ -14/  59/  14/  55],             
68,P,1,P[ -16/  20/ 110/  18],             
69,D,1,                      ,D[AR/181/214/334]
70,D,0,                      ,D[AR/185/214/334]
71,P,0,P[ -18/   0/ 246/ -17],             
72,D,0,                      ,D[AR/  1/214/334]
73,P,0,P[  -4/   3/ 162/  -4],             
74,P,0,P[ -12/  67/  12/  56],             
75,P,0,P[  -3/   1/ 149/  -3],             
76,P,1,P[  -5/   0/ 105/  -1],             
77,P,0,P[  -5/   0/ 287/  -1],             
78,D,1,                      ,D[FL/172/214/334]
79,P,0,P[  -2/   0/ 227/  -2],             
80,D,1,                      ,D[FL/192/213/334]
81,D,1,                      ,D[FL/ 53/213/334]
82,P,1,P[  -2/  14/ 107/  13],             
83,P,1,P[  -3/   0/ 136/  -1],             
84,D,0,                      ,D[AR/275/214/334]
85,D,0,                      ,D[AR/ 59/214/334]
86,D,1,                      ,D[AR/176/214/334]
87,D,0,                      ,D[FL/ 29/214/334]
88,P,1,P[  -8/  83/   8/  77],             
89,P,0,P[  -7/   0/ 305/  -7],             
90,D,1,                      ,D[FL/166/211/334]
91,P,1,P[ -65/  16/  65/   7],             
92,P,0,P[ -51/  15/  51/   9],             
93,D,1,                      ,D[FL/191/214/334]
94,P,0,P[  -6/   0/  45/  -6],             
95,D,0,                      ,D[FL/305/215/334]
96,D,0,                      ,D[FL/ 78/215/334]
97,D,1,                      ,D[AR/227/215/334]
98,D,0,                      ,D[FL/261/215/334]
99,D,1,                      ,D[AR/ 15/215/334]
100,D,0,                      ,D[AR/ 60/215/334]
101,P,1,P[  -1/   1/  90/  -1],             
102,P,0,P[  -1/   6/ 106/   5],             
103,P,1,P[  -4/   0/ 313/  -4],             
104,P,0,P[  -2/   3/ 216/   2],             
105,D,1,                      ,D[FL/ 22/214/334]
106,D,0,                      ,D[IM/172/213/334]
107,D,1,                      ,D[AR/ 49/213/334]
108,D,0,                      ,D[AR/  2/213/334]
109,P,0,P[ -12/   0/ 239/  -2],             
110,P,1,P[  -2/   6/ 323/   5],             
111,P,0,P[ -12/   0/ 239/ -10],             
112,D,1,                      ,D[AR/275/213/334]
113,D,1,                      ,D[FL/ 25/213/334]
114,D,0,                      ,D[AR/ 38/214/334]
115,D,1,                      ,D[AR/273/214/334]
116,P,1,P[ -21/  27/ 249/  22],             
117,D,0,                      ,D[FL/ 24/217/334]
118,P,1,P[  -5/   0/ 187/  -5],             
119,P,0,P[  -4/   0/ 210/  -4],             
120,D,0,                      ,D[AR/  2/216/334]
121,P,1,P[  -3/   4/ 220/   3],             
122,P,0,P[ -72/   9/  72/ -58],             
123,D,0,                      ,D[AR/224/216/334]
